cp,section_region,area_overlap
eco_birds_pigeonguillemot_density_m,Queen Charlotte Strait,822.1830664057522
eco_birds_pigeonguillemot_density_m,Continental Slope,548.8323487711069
eco_birds_pigeonguillemot_density_m,CC,602.4417302866532
eco_birds_pigeonguillemot_density_m,NCVI,2096.0296561316113
eco_birds_pigeonguillemot_density_m,NC,949.2723652172101
eco_birds_pigeonguillemot_density_m,Hecate Strait,1998.1471502757631
eco_birds_pigeonguillemot_density_m,Vancouver Island Shelf,148.23952355391998
eco_birds_pigeonguillemot_density_m,HG,2740.372510893582
eco_birds_pigeonguillemot_density_m,Dixon Entrance,280.73216310672365
eco_birds_pigeonguillemot_density_m,North Coast Fjords,940.2233036671742
eco_birds_pigeonguillemot_density_m,Johnstone Strait,483.04707893067433
eco_birds_pigeonguillemot_density_m,Strait of Georgia,47.64128414606529
eco_birds_pigeonguillemot_density_m,Queen Charlotte Sound,1116.223053236012
eco_birds_pigeonguillemot_coloniesri1_d,Queen Charlotte Strait,194168504.0432348
eco_birds_pigeonguillemot_coloniesri1_d,Continental Slope,367706281.25237125
eco_birds_pigeonguillemot_coloniesri1_d,CC,145447618.11000764
eco_birds_pigeonguillemot_coloniesri1_d,NCVI,362811040.42044866
eco_birds_pigeonguillemot_coloniesri1_d,NC,329575731.9188306
eco_birds_pigeonguillemot_coloniesri1_d,Hecate Strait,948240739.5872917
eco_birds_pigeonguillemot_coloniesri1_d,Vancouver Island Shelf,61146673.89485483
eco_birds_pigeonguillemot_coloniesri1_d,Dixon Entrance,274137245.6456357
eco_birds_pigeonguillemot_coloniesri1_d,North Coast Fjords,106343335.49274597
eco_birds_pigeonguillemot_coloniesri1_d,Johnstone Strait,34557327.27002396
eco_birds_pigeonguillemot_coloniesri1_d,HG,1575449064.1622202
eco_birds_pigeonguillemot_coloniesri1_d,Queen Charlotte Sound,426983294.6684256
eco_coarse_ecosections_polygons_d,Transitional Pacific,170978573266.871
eco_coarse_ecosections_polygons_d,Queen Charlotte Strait,6950705783.64948
eco_coarse_ecosections_polygons_d,Continental Slope,35684292966.4562
eco_coarse_ecosections_polygons_d,CC,48621383288.80119
eco_coarse_ecosections_polygons_d,NCVI,44485856900.948006
eco_coarse_ecosections_polygons_d,NC,54468816761.53754
eco_coarse_ecosections_polygons_d,Hecate Strait,17646116149.2384
eco_coarse_ecosections_polygons_d,Vancouver Island Shelf,35896539174.1407
eco_coarse_ecosections_polygons_d,HG,55967075707.2944
eco_coarse_ecosections_polygons_d,Dixon Entrance,14676393902.0385
eco_coarse_ecosections_polygons_d,North Coast Fjords,93024689832.68709
eco_coarse_ecosections_polygons_d,Juan de Fuca Strait,3127891480.24075
eco_coarse_ecosections_polygons_d,Subarctic Pacific,148504613651.213
eco_coarse_ecosections_polygons_d,Johnstone Strait,18934553345.4368
eco_coarse_ecosections_polygons_d,Strait of Georgia,27070651196.6992
eco_coarse_ecosections_polygons_d,Queen Charlotte Sound,37799443053.534706
